win_title,win_class,task_type,remain_interval,idle_interval,day,time
"","Shell_TrayWnd","Ohters",1.200000,0.000000,2009-06-14,09:06:23
"","#32770","对话框",0.100000,0.000000,2009-06-14,09:13:09
"Program Manager","Progman","Ohters",0.500000,0.000000,2009-06-14,09:13:10
"","Shell_TrayWnd","Ohters",0.000000,0.000000,2009-06-14,09:13:10
"「开始」菜单","DV2ControlHost","Ohters",1.700000,0.000000,2009-06-14,09:13:12
"","Shell_TrayWnd","Ohters",18.900000,0.000000,2009-06-14,09:13:37
"Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",56.100000,0.000000,2009-06-14,09:14:39
"新闻中心_网易新闻 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",212.700000,0.000000,2009-06-14,09:18:38
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",8.600000,0.000000,2009-06-14,09:18:47
"伊朗数千人街头抗议选举不公(图)_网易新闻中心 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",46.800000,0.000000,2009-06-14,09:19:40
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.600000,0.000000,2009-06-14,09:19:41
"胡锦涛赴俄出席上合组织及金砖四国峰会_网易新闻中心 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",533.400000,0.000000,2009-06-14,09:29:32
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",1.000000,0.000000,2009-06-14,09:29:33
"调查称北京近4成本科毕业生未找到工作_网易新闻中心 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",11.600000,0.000000,2009-06-14,09:29:46
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.600000,0.000000,2009-06-14,09:29:47
"美军称已向伊拉克安全部队移交百余个军事基地_网易新闻中心 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",48.300000,0.000000,2009-06-14,09:30:41
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",1.500000,0.000000,2009-06-14,09:30:43
"韩媒称朝鲜帮缅甸等国挖地道防御美国入侵_网易新闻中心 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",49.100000,0.000000,2009-06-14,09:31:38
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.500000,0.000000,2009-06-14,09:31:39
"社科院：已有40％中小企业在金融危机中倒闭_网易科技 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",88.300000,0.000000,2009-06-14,09:33:18
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.900000,0.000000,2009-06-14,09:33:19
"马主席时代 蓝委呛声：拒当橡皮图章_台湾_凤凰网 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",19.400000,0.000000,2009-06-14,09:33:41
"「开始」菜单","DV2ControlHost","Ohters",10.000000,0.000000,2009-06-14,09:33:53
"马英九一统江湖王金平难撄其锋_台湾_凤凰网 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",48.000000,0.000000,2009-06-14,09:34:47
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",1.700000,0.000000,2009-06-14,09:34:49
"马英九一统江湖王金平难撄其锋_台湾_凤凰网 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",155.300000,0.000000,2009-06-14,09:37:44
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",1.400000,0.000000,2009-06-14,09:37:46
"八阕 · 广角新闻 · 中　国：【中共正式兴建第二条入藏铁路：共军武警驰援将更迅速（图）】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",96.100000,0.000000,2009-06-14,09:39:31
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.400000,0.000000,2009-06-14,09:39:32
"八阕 · 广角新闻 · 中　国：【是谁给了刘云山这么大的权利？】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",570.300000,0.000000,2009-06-14,09:50:02
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.600000,0.000000,2009-06-14,09:50:03
"八阕 · 广角新闻 · 思　想：【现在轮到西方社会死心了】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",50.800000,0.000000,2009-06-14,09:50:59
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.500000,0.000000,2009-06-14,09:51:00
"八阕 · 广角新闻 · 产　经：【谢国忠：世界即将面临另一个大麻烦】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",93.000000,0.000000,2009-06-14,09:52:43
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.500000,0.000000,2009-06-14,09:52:43
"八阕 · 广角新闻 · 产　经：【谢国忠：世界即将面临另一个大麻烦】 - Mozilla Firefox","MozillaUIWindowClass","Beyond Compare",180.700000,0.000000,2009-06-14,09:56:02
"ScrapBook - 详细信息","MozillaDialogClass","Ohters",0.600000,0.000000,2009-06-14,09:56:03
